numXbins 34
numYbins 34
xbin  ybin  z
10  33  3.47330526815096356e-03
11  0  2.51491323264028000e-03
11  1  2.66576755627171520e-03
11  2  2.42006505925987554e-03
11  3  1.65525881765437514e-03
11  4  1.15293235091065249e-03
11  5  2.80883795568864130e-03
11  6  1.68783572835491495e-03
11  7  2.42244764338405425e-03
11  8  2.14882228725766806e-03
11  9  2.46302541243617048e-03
11  10  2.11736396987096190e-03
11  11  3.47048750477539202e-03
11  12  2.96767220358343763e-03
11  13  5.22326581978789766e-03
11  14  4.55015250580738904e-03
11  15  1.08140935020659013e-02
11  16  1.68295225929973222e-03
11  17  2.99633755262284892e-03
11  18  3.36564764752300552e-03
11  19  4.39128664536379658e-03
11  20  5.89832661032495958e-03
11  21  3.48982549128062447e-03
11  22  3.68731768366869529e-03
11  23  1.21638590399362340e-02
11  24  1.31734511490489434e-03
11  25  1.87585947377931776e-03
11  26  8.11016572383351127e-03
11  27  1.79718540369398143e-03
11  28  4.82797285257013063e-03
11  29  4.70918027042589813e-03
11  30  5.58710802773301849e-03
11  31  4.64092652519429959e-03
11  32  3.54328726194560366e-03
11  33  3.22661700601436282e-03
12  0  4.48507680839442101e-03
12  1  4.35651843279980227e-03
12  2  2.68699743209435248e-03
12  3  2.02530505346902329e-03
12  4  2.97882704817330375e-03
12  5  2.84256985953006830e-03
12  6  3.73936156813626554e-03
12  7  3.86894736458708163e-03
12  8  4.84081996022729406e-03
12  9  3.52250497029135733e-03
12  10  2.54458440762057869e-03
12  11  2.96767220358343763e-03
12  12  1.57609778305676171e-02
12  13  1.08951907246070383e-02
12  14  2.18847002704036647e-02
12  15  5.47337383598833511e-03
12  16  6.09844151465229346e-03
12  17  6.48121186140926224e-03
12  18  6.56323976461792302e-03
12  19  5.13599438089244482e-03
12  20  1.05714636686048483e-02
12  21  3.33237769790920317e-03
12  22  4.45806803167269304e-03
12  23  3.58203869981969028e-02
12  24  -7.81654909470535565e-04
12  25  5.43938074463904634e-03
12  26  -1.84023533539476661e-02
12  27  3.87040466866116336e-03
12  28  6.98157641929105736e-03
12  29  8.42295765208170809e-03
12  30  7.52737823637693662e-03
12  31  5.97652599176749701e-03
12  32  2.65399331808625731e-03
12  33  7.46957788054109385e-03
13  0  4.48691756343094512e-03
13  1  5.49287535689137272e-03
13  2  3.79489654822988539e-03
13  3  3.15083666957262842e-03
13  4  2.67211427409126115e-03
13  5  4.37541389989498045e-03
13  6  3.45030701372343830e-03
13  7  4.50408255059471692e-03
13  8  4.35257398607841531e-03
13  9  4.28929094102524673e-03
13  10  3.35514657383977630e-03
13  11  5.22326581978789853e-03
13  12  1.08951907246070383e-02
13  13  1.43504448148684977e-02
13  14  1.51248710188628798e-02
13  15  1.45711592181160584e-02
13  16  4.11026968103356607e-03
13  17  5.85201305533174405e-03
13  18  6.70491680639130443e-03
13  19  7.16104698962669386e-03
13  20  1.14606505080122011e-02
13  21  5.37067208672212942e-03
13  22  6.13537471267600922e-03
13  23  2.73035707306551537e-02
13  24  1.40136078818119906e-03
13  25  4.65904130127348885e-03
13  26  2.25945311029709548e-03
13  27  3.50950728784228541e-03
13  28  8.26737588538429408e-03
13  29  9.00936629695808962e-03
13  30  9.74708038871824334e-03
13  31  8.17056339417333161e-03
13  32  5.24249741557516157e-03
13  33  6.39890843301908849e-03
14  0  7.31115965862508353e-03
14  1  6.56431874965534862e-03
14  2  5.08378180429268356e-03
14  3  3.37818986207644991e-03
14  4  4.69177735245216495e-03
14  5  5.12549603514711894e-03
14  6  6.44411243375834358e-03
14  7  6.81226505253713401e-03
14  8  8.58576567017308410e-03
14  9  6.90080350655790115e-03
14  10  5.19485231693978412e-03
14  11  4.55015250580738904e-03
14  12  2.18847002704036682e-02
14  13  1.51248710188628833e-02
14  14  3.41165330869752995e-02
14  15  1.84406565877033336e-02
14  16  9.83366208125476329e-03
14  17  1.02713392522951891e-02
14  18  1.00609948281652119e-02
14  19  8.96837809781523415e-03
14  20  1.53908407835554300e-02
14  21  6.56264462993845412e-03
14  22  7.95858279950282382e-03
14  23  5.19081154686293553e-02
14  24  9.19921901680868537e-05
14  25  7.79253397869446567e-03
14  26  -1.59511287889073337e-02
14  27  6.66001402932900853e-03
14  28  1.17694515947431230e-02
14  29  1.30699249950060690e-02
14  30  1.23275769680234858e-02
14  31  9.65925543490981676e-03
14  32  4.91981611811993357e-03
14  33  1.16485734964913174e-02
15  0  8.00989111027404499e-03
15  1  9.71128229078838286e-03
15  2  9.15042721574090695e-03
15  3  6.81696466399225182e-03
15  4  4.73210387413553184e-03
15  5  1.00149712922836392e-02
15  6  7.16109635184605884e-03
15  7  1.00221585819320804e-02
15  8  9.91216100442014920e-03
15  9  1.17817272647196356e-02
15  10  9.68548836015165754e-03
15  11  1.08140935020658996e-02
15  12  5.47337383598833251e-03
15  13  1.45711592181160584e-02
15  14  1.84406565877033302e-02
15  15  6.42900876060678583e-02
15  16  6.58171058498995074e-03
15  17  9.77039797379279477e-03
15  18  1.20879937844538578e-02
15  19  1.69563812939916014e-02
15  20  1.63289639894329923e-02
15  21  1.45635252037917638e-02
15  22  1.38208775061885464e-02
15  23  2.79492801048463781e-02
15  24  7.67915310996551692e-03
15  25  5.07430658046799290e-03
15  26  5.64027487938987965e-02
15  27  6.70661948139819695e-03
15  28  1.68389700504252872e-02
15  29  1.45409280092420219e-02
15  30  1.96088276632505089e-02
15  31  1.58687068689706244e-02
15  32  1.33741983056285731e-02
15  33  9.76200304375945266e-03
16  0  3.26101089654809136e-03
16  1  3.04735111022432642e-03
16  2  2.56932646222991952e-03
16  3  1.70184862717048953e-03
16  4  1.69800337259110425e-03
16  5  1.89162312196647104e-03
16  6  2.09555682512052458e-03
16  7  2.92981269274354781e-03
16  8  3.61818514383758236e-03
16  9  3.12313331922771517e-03
16  10  2.20298947902679548e-03
16  11  1.68295225929973309e-03
16  12  6.09844151465229519e-03
16  13  4.11026968103356868e-03
16  14  9.83366208125476156e-03
16  15  6.58171058498995074e-03
16  16  6.87788475918948462e-03
16  17  4.04729485115102282e-03
16  18  3.33910829854120513e-03
16  19  4.09803946443556937e-03
16  20  3.61552527703770275e-03
16  21  3.44660570898088501e-03
16  22  3.17499548163291357e-03
16  23  1.30458982312753914e-02
16  24  1.35447101203431722e-03
16  25  2.56428907059459265e-03
16  26  8.78065996308612443e-03
16  27  2.08703943525634849e-03
16  28  4.20440526114944542e-03
16  29  4.07275533327206701e-03
16  30  4.53099741063076652e-03
16  31  3.22570662705531702e-03
16  32  2.07291460031200966e-03
16  33  5.22276264533170359e-03
17  0  4.75031716576313628e-03
17  1  4.10740844985627192e-03
17  2  3.47691961509000646e-03
17  3  6.39705817435376402e-04
17  4  2.24249207696416595e-03
17  5  4.53143796211111140e-03
17  6  4.31689694298590353e-03
17  7  3.16637921696088067e-03
17  8  5.01939785481480150e-03
17  9  3.60866228536659006e-03
17  10  3.42996932453648595e-03
17  11  2.99633755262284762e-03
17  12  6.48121186140926311e-03
17  13  5.85201305533174666e-03
17  14  1.02713392522951891e-02
17  15  9.77039797379279477e-03
17  16  4.04729485115102282e-03
17  17  8.89363469952409759e-03
17  18  7.43646794211115254e-03
17  19  5.74995915709554210e-03
17  20  8.39382430840949698e-03
17  21  3.25856081682192539e-03
17  22  4.21822266551985688e-03
17  23  2.55400369456652461e-02
17  24  4.99128164282121593e-04
17  25  2.77150006389258663e-03
17  26  1.75724405814708384e-02
17  27  3.50107738152091513e-03
17  28  7.16205591279121118e-03
17  29  6.32937078375317951e-03
17  30  6.27232968334553477e-03
17  31  5.07591204555554558e-03
17  32  4.40492253121346506e-03
17  33  6.35301164979185616e-03
18  0  3.91062290621617317e-03
18  1  5.55440730230574112e-03
18  2  2.89997282636804670e-03
18  3  1.86879221744612966e-03
18  4  2.75922626547521000e-03
18  5  3.60461115511679156e-03
18  6  3.77956401543142048e-03
18  7  3.30285005600632498e-03
18  8  4.84916246020243753e-03
18  9  3.87958738841398358e-03
18  10  2.86950370789599120e-03
18  11  3.36564764752300249e-03
18  12  6.56323976461792129e-03
18  13  6.70491680639130443e-03
18  14  1.00609948281652171e-02
18  15  1.20879937844538543e-02
18  16  3.33910829854120513e-03
18  17  7.43646794211115514e-03
18  18  1.00378242413397840e-02
18  19  6.96454237463081573e-03
18  20  8.09695168379920803e-03
18  21  3.73021563063261757e-03
18  22  3.45171179281060980e-03
18  23  2.10700881357073939e-02
18  24  1.42801850864864672e-03
18  25  3.34186966378412871e-03
18  26  1.72868484706998268e-02
18  27  2.30621259349631262e-03
18  28  5.89846431418172574e-03
18  29  5.65452322309272209e-03
18  30  7.22945944674549795e-03
18  31  5.85921449655378134e-03
18  32  4.72759341224773463e-03
18  33  4.94380910574113933e-03
19  0  4.26756755952542501e-03
19  1  4.06652354733156966e-03
19  2  4.47138206671688059e-03
19  3  2.83688925868544111e-03
19  4  2.45291015841385407e-03
19  5  4.50932672020678150e-03
19  6  3.53595891147182083e-03
19  7  4.41323749971779446e-03
19  8  4.87845212063559280e-03
19  9  4.65177466095786571e-03
19  10  3.40952830868259575e-03
19  11  4.39128664536379658e-03
19  12  5.13599438089244482e-03
19  13  7.16104698962669820e-03
19  14  8.96837809781523415e-03
19  15  1.69563812939916084e-02
19  16  4.09803946443556590e-03
19  17  5.74995915709554124e-03
19  18  6.96454237463081313e-03
19  19  1.04493761066279268e-02
19  20  1.02693284910889120e-02
19  21  6.69152187411287385e-03
19  22  5.05066285050810755e-03
19  23  1.81338031439327516e-02
19  24  3.53063938835311347e-03
19  25  3.62081370254419607e-03
19  26  1.91849310425032116e-02
19  27  2.34510155258268321e-03
19  28  7.11822229129545694e-03
19  29  7.20022498250613621e-03
19  30  1.07136405372592596e-02
19  31  8.38151493924499912e-03
19  32  5.15084094608977885e-03
19  33  5.27380260350965389e-03
20  0  5.91460056390287568e-03
20  1  4.26370918966077761e-03
20  2  5.24875994390116771e-03
20  3  2.48983671227657154e-03
20  4  3.08422769033111620e-03
20  5  6.41573494261492554e-03
20  6  5.20578566546772703e-03
20  7  5.27048276794674087e-03
20  8  5.78697015846307491e-03
20  9  4.94157020381019631e-03
20  10  4.26753793071604597e-03
20  11  5.89832661032495872e-03
20  12  1.05714636686048483e-02
20  13  1.14606505080121993e-02
20  14  1.53908407835554335e-02
20  15  1.63289639894329923e-02
20  16  3.61552527703770015e-03
20  17  8.39382430840949524e-03
20  18  8.09695168379920283e-03
20  19  1.02693284910889068e-02
20  20  1.69320738053554930e-02
20  21  5.99906244227177421e-03
20  22  6.71786128796749305e-03
20  23  3.83252110762088635e-02
20  24  1.64367745641634056e-03
20  25  5.47326075188633594e-03
20  26  2.69973540927761829e-03
20  27  4.30617990491376831e-03
20  28  1.05172716012997356e-02
20  29  1.12095663052522027e-02
20  30  1.32029433577546193e-02
20  31  1.06485830818991694e-02
20  32  6.26820356138864908e-03
20  33  7.93791502910448470e-03
21  0  3.43105014132099023e-03
21  1  3.86126370455113724e-03
21  2  3.58663105176947701e-03
21  3  2.66106903737280262e-03
21  4  1.68514149022444960e-03
21  5  3.60158361118549479e-03
21  6  2.29083222853955623e-03
21  7  3.72179361132624498e-03
21  8  3.41271626229757265e-03
21  9  3.90469010357770560e-03
21  10  3.09835362093758854e-03
21  11  3.48982549128062447e-03
21  12  3.33237769790920317e-03
21  13  5.37067208672212769e-03
21  14  6.56264462993845412e-03
21  15  1.45635252037917638e-02
21  16  3.44660570898088717e-03
21  17  3.25856081682192452e-03
21  18  3.73021563063261757e-03
21  19  6.69152187411287385e-03
21  20  5.99906244227177247e-03
21  21  6.07779972598849853e-03
21  22  5.67264659517643325e-03
21  23  1.18559122941554532e-02
21  24  2.28357602824312599e-03
21  25  2.08127413248322592e-03
21  26  1.59604914765645971e-02
21  27  2.42171215761227470e-03
21  28  6.09976425408048899e-03
21  29  5.69906096471222128e-03
21  30  7.64447991470908368e-03
21  31  5.99026675529386234e-03
21  32  4.36137102606020798e-03
21  33  4.26681172415046932e-03
22  0  4.10985056902633122e-03
22  1  4.30673128941432611e-03
22  2  3.72160269294938414e-03
22  3  2.32349132145539920e-03
22  4  1.65176375718619774e-03
22  5  4.27662826826756288e-03
22  6  2.70427302092489299e-03
22  7  3.88986705998188055e-03
22  8  3.48169573530045934e-03
22  9  3.94430112884547150e-03
22  10  3.62866986418839896e-03
22  11  3.68731768366869746e-03
22  12  4.45806803167269304e-03
22  13  6.13537471267600835e-03
22  14  7.95858279950282382e-03
22  15  1.38208775061885430e-02
22  16  3.17499548163291314e-03
22  17  4.21822266551985601e-03
22  18  3.45171179281061110e-03
22  19  5.05066285050810668e-03
22  20  6.71786128796749132e-03
22  21  5.67264659517643065e-03
22  22  7.23742746521581840e-03
22  23  1.76692543370413346e-02
22  24  9.52273940049101178e-04
22  25  2.01302147239025217e-03
22  26  1.23883707225537799e-02
22  27  3.57074500898652827e-03
22  28  7.41658201374501870e-03
22  29  6.54690216142474277e-03
22  30  7.07800424261836262e-03
22  31  5.66802000229222822e-03
22  32  4.93739338227061793e-03
22  33  5.13005131986163897e-03
23  0  1.77134561861026114e-02
